curso_id,title,description,duration,order_index,topics,icon
102,"Semana 1: Lógica y Conjuntos","Introducción a la lógica proposicional y teoría de conjuntos.","4h",1,"{Lógica Proposicional,Conectivos Lógicos,Álgebra proposicional,Conjuntos}","brain"
102,"Semana 2: Números Reales","Estudio del sistema de números reales y desigualdades.","4h",2,"{Sistema de Números reales,Propiedades,Desigualdades}","calculate"
102,"Semana 3: Valor Absoluto","Propiedades y aplicaciones del valor absoluto y máximo entero.","4h",3,"{Valor absoluto,Máximo entero,Propiedades}","ruler"
102,"Semana 4: Funciones","Definición, dominio y rango de funciones especiales.","4h",4,"{Funciones,Dominio,Rango,Funciones Especiales}","function"
102,"Semana 5: Operaciones con Funciones","Álgebra de funciones y composición.","4h",5,"{Funciones pares e impares,Álgebra de Funciones,Composición}","combine"
102,"Semana 6: Funciones Inversas","Estudio de funciones univalentes y suryectivas.","4h",6,"{Función univalente,Función Inversa,Propiedades}","undo"
102,"Semana 7: Límites","Definición y cálculo de límites algebraicos y trigonométricos.","4h",7,"{Límites algebraicos,Límites Trigonométricos,Límites infinitos}","trending-up"
102,"Semana 8: Examen Parcial","Evaluación de los contenidos de la primera mitad del curso.","2h",8,"{Examen Parcial}","graduation-cap"
102,"Semana 9: Continuidad y Asíntotas","Análisis de asíntotas y continuidad en un punto e intervalo.","4h",9,"{Asíntotas,Continuidad en un punto,Continuidad en un intervalo}","activity"
102,"Semana 10: Teoremas de Continuidad","Teorema del Valor Intermedio y Bolzano.","4h",10,"{Teorema del Valor Intermedio,Teorema de Bolzano,Funciones acotadas}","list-checks"
102,"Semana 11: La Derivada","Definición, interpretación y reglas básicas de derivación.","4h",11,"{Definición de Derivada,Regla de la cadena,Derivadas Laterales}","zap"
102,"Semana 12: Diferenciabilidad","Derivación implícita y derivadas de orden superior.","4h",12,"{Diferenciabilidad,Derivación Implícita,Derivada de orden superior}","layers"
102,"Semana 13: Teoremas de Derivación","Teoremas de Rolle, Lagrange y Cauchy.","4h",13,"{Teorema del Valor Medio,Rolle,Lagrange,Cauchy}","award"
102,"Semana 14: Valores Extremos","Criterios de la primera y segunda derivada para extremos relativos.","4h",14,"{Razón instantánea de cambio,Extremos relativos,Máximos y Mínimos}","arrow-up-down"
102,"Semana 15: Optimización y L'Hopital","Concavidad, puntos de inflexión y Regla de L'Hopital.","4h",15,"{Concavidad,Punto de inflexión,Regla L'Hospital}","microscope"
102,"Semana 16: Examen Final","Evaluación final de toda la asignatura.","2h",16,"{Examen Final}","scroll"
